"","cell_line_name","TCGA_subtype","ACRG_subtype","TME_subtype_cal","High_cal","Low_cal","STAD_CIN","STAD_EBV","STAD_GS","STAD_MSI","MSS_TP53neg","MSS_TP53pos","MSI","EMT"
"17","FU97","STAD_CIN","MSS_TP53neg","Low",0.39259751011018,0.60740248988982,0.924153667781428,0.0178440671395727,0.0186504423558315,0.0393518227231672,0.494381308107357,0.0102532852560342,0.00601820702089506,0.489347199615714
"18","NUGC-4","STAD_MSI","MSS_TP53pos","Low",0.285681533378556,0.714318466621444,0.251394461673887,0.0105295693766037,0.310634420116685,0.427441548832824,0.00112477068777618,0.995669594553552,0.00269175483996853,0.000513879918703815
"19","MKN7","STAD_CIN","MSS_TP53neg","Low",0.259956822265585,0.740043177734415,0.990087076242748,0.00333906406850606,0.00100303368091651,0.00557082600782891,0.945526922244075,0.0321516224167461,0.0176615418707274,0.00465991346845153
"20","SNU-601","STAD_CIN","MSS_TP53neg","Low",0.270064317639086,0.729935682360914,0.661013275186831,0.187882704201392,0.0721643919516697,0.0789396286601074,0.924355924833835,0.0689513047955242,0.0061270559003215,0.000565714470319396
"21","GSS","STAD_CIN","MSS_TP53pos","Low",0.31848104338897,0.68151895661103,0.981090171914725,0.00171326030229229,0.0159705742503169,0.00122599353266598,0.334188259768061,0.635386022293479,0.0220662834269525,0.00835943451150735
"22","MKN74","STAD_CIN","MSS_TP53pos","Low",0.377240476928583,0.622759523071417,0.984064305072024,0.00163413825589947,0.0111741645029277,0.00312739216914898,0.0159295612593581,0.511600935821894,0.432271133392,0.0401983695267475
"23","NUGC-2","STAD_CIN","MSS_TP53neg","Low",0.224295786402906,0.775704213597094,0.99705532248986,0.00140107933837708,0.00105805362336306,0.000485544548399401,0.982312852725048,0.0131354371935485,0.00201589371472309,0.0025358163666806
"24","SH-10-TC","STAD_CIN","EMT","Low",0.262460547194746,0.737539452805254,0.866400211616122,0.0169909626789098,0.0826459479254815,0.0339628777794862,0.0254657180485612,0.007003837936211,0.00264975647758326,0.964880687537645
"25","KATO III","STAD_CIN","MSS_TP53neg","Low",0.439844277321136,0.560155722678864,0.699540153206379,0.0159721770031379,0.118273486851306,0.166214182939177,0.705844970706633,0.0148370370417248,0.278583463960863,0.000734528290778863
"26","HGC-27","STAD_CIN","EMT","Low",0.27780540226063,0.72219459773937,0.319317758296961,0.068039936962959,0.313743447252894,0.298898857487186,0.416492509339878,0.0048282955131727,0.0763134878671894,0.50236570727976
"27","AGS","STAD_EBV","MSI","Low",0.235783927263079,0.764216072736921,0.449837838378003,0.540216484821468,0.0030703015960504,0.00687537520447831,0.00778136380310101,0.141884822862218,0.848606837425787,0.00172697590889423
"28","SNU-719","STAD_EBV","MSS_TP53pos","Low",0.433461410331919,0.566538589668081,0.118116177429403,0.709822320050166,0.137020407940652,0.0350410945797788,0.00384234195544305,0.994186087532451,0.0012855730626005,0.000685997449505551
"29","SNU-520","STAD_MSI","MSS_TP53pos","Low",0.380293320837726,0.619706679162274,0.00385613208563864,0.00490499315146358,0.179324970171148,0.81191390459175,0.0174376316586721,0.94421825520292,0.0190906947071536,0.0192534184312545
"30","NUGC-3","STAD_CIN","MSS_TP53neg","Low",0.285681533378556,0.714318466621444,0.675065058941636,0.036400764792939,0.0102832952796017,0.278250880985823,0.771916546649516,0.0208093916405985,0.205550180237839,0.00172388147204578
"31","IM95","STAD_MSI","MSS_TP53pos","Low",0.430278100743521,0.569721899256479,0.000178817496244237,0.000419244403983146,0.00336519837523274,0.99603673972454,0.040802408208289,0.557806327881637,0.393386397634838,0.0080048662752351
"32","SNU-1","STAD_GS","MSI","Low",0.411307792969379,0.588692207030621,0.0675895828073062,0.0616869064592403,0.456640614835889,0.414082895897565,0.0239229415146187,0.0401551693964243,0.861174960898834,0.0747469281901231
"33","23132/87","STAD_MSI","MSS_TP53pos","Low",0.37116412461059,0.62883587538941,0.0216341996205234,0.00372966378335062,0.0102315902518384,0.964404546344288,0.00415635947033676,0.896668106500572,0.096861700133479,0.00231383389561264
"34","TGBC11TKB","STAD_GS","MSS_TP53pos","Low",0.459104308823982,0.540895691176018,0.108365797808176,0.00979881048555913,0.482510183514708,0.399325208191557,0.0391750339706458,0.740140702461178,0.217472828442304,0.00321143512587207
"35","SK-GT-2","STAD_CIN","MSS_TP53pos","Low",0.283041302963066,0.716958697036934,0.994081509059072,0.00168957116451063,0.00285980709394598,0.00136911268247107,0.149234881109179,0.845506669446424,0.00372599513227328,0.00153245431212364
"36","SNU-638","STAD_MSI","MSI","Low",0.439844277321136,0.560155722678864,0.0452973425397196,0.00488398144123237,0.00669880331212049,0.943119872706928,0.0325532405115861,0.399897091123934,0.560003710835745,0.00754595752873498
"37","CCLF_UPGI_0005_T","STAD_CIN","MSS_TP53pos","Low",0.377240476928583,0.622759523071417,0.94649610149958,0.01774457299089,0.00640768238913306,0.0293516431203971,0.0623488482900089,0.89392821527602,0.00598943633902451,0.0377335000949465
