"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison","comparison_b","comparison_c"
"56",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","STAD_MSI",0.10992407635087,"Favourable","Favourable",NA
"57",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","STAD_EBV",-0.422027764745831,"Favourable","Favourable",NA
"58",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","STAD_CIN",-0.0385012369541951,"Unfavourable","Unfavourable","Unfavourable"
"59",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","MSS_TP53neg",0.212514151922833,"Favourable",NA,"Favourable"
"60",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","EMT",-0.423804665096005,"Favourable","Favourable",NA
"61",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","MSS_TP53pos",0.0540643874478707,"Unfavourable","Unfavourable",NA
"62",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","High_cal",0.45492073273424,"Unfavourable","Unfavourable",NA
"63",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","STAD_GS",0.218121804806704,"Unfavourable","Unfavourable",NA
"64",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","STAD_MSI",-0.213120346017647,"Favourable","Favourable",NA
"65",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","EMT",-0.360875946731066,"Favourable","Favourable",NA
"66",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","MSI",-0.061944276460465,"Unfavourable","Unfavourable","Unfavourable"
"67",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","MSS_TP53pos",0.22980316249929,"Unfavourable","Unfavourable",NA
"68",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","High_cal",-0.0889829338282218,"Unfavourable","Unfavourable",NA
"69",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","STAD_EBV",-0.214551681609154,"Favourable","Favourable",NA
"70",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","STAD_CIN",0.159304357089641,"Unfavourable","Unfavourable","Unfavourable"
"71",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","STAD_GS",0.193137730400066,"Unfavourable","Unfavourable",NA
"72",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","MSS_TP53neg",0.050800432227792,"Favourable",NA,"Favourable"
"73",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","STAD_CIN",0.0855619455004051,"Unfavourable","Unfavourable","Unfavourable"
"74",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","STAD_MSI",-0.162477919901664,"Favourable","Favourable",NA
"75",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","STAD_GS",0.213521363965399,"Unfavourable","Unfavourable",NA
"76",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","MSS_TP53neg",-0.0696603568348197,"Favourable",NA,"Favourable"
"77",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","EMT",-0.375834278301202,"Favourable","Favourable",NA
"78",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","High_cal",0.116046800477927,"Unfavourable","Unfavourable",NA
