"","ABCB6","ATP5F1A","BCL2A1","C22orf15","CBR4","CDKN2A","CHMP7","CKS1B","CLDN3","COX18","DDB2","DDX27","DENND2A","F12","FAH","FAS","GGT7","GMNN","H4C14","HSD17B12","HYLS1","ITGB7","JAK2","KNOP1","LCNL1","LTA","LYN","MCUR1","ME2","MLH1","MLYCD","MOB3A","NCK2","NFE2L3","NMNAT3","OSER1","PARD6B","PGAM1","PGGT1B","PLEKHB1","POU2F1","PPP1R3D","PREPL","RELL2","SCNN1A","SCO1","SLC35A1","SLC6A8","SMAP1","ST7L","STIL","STIP1","TNFSF9","TP53I13","TTC30A","TXNDC9","YBEY"
"TCGA.BR.4201.01",7.76560278679156,13.496170295986,9.35051147616841,2.31001748251111,8.87969636135255,5.80677077664447,10.2950415857439,9.61850504331205,7.87023105571114,8.47940038029864,9.38108701844573,9.78194560120142,6.41892314783269,7.70087626154667,8.22771483598769,9.98636179688204,8.65103826508059,9.72592314709036,6.37635377598448,11.9859450451093,7.68646305094194,8.82480051576598,9.75254771183759,7.35793571046834,2.28770326445797,3.72355184817381,10.9187887890108,8.33710019381174,10.8753796055692,8.45566352058659,7.37521345941051,9.75725666517828,9.80455227003953,10.7469875860371,6.64791374916486,9.81824275321318,9.49949808591467,12.202899827889,9.39323794825818,8.98047245439835,5.1937209620026,7.91113290329335,10.1999116909067,5.872681983945,8.85236106082821,9.4217797413953,10.6492578331122,10.0229186217775,9.92809205903235,7.7185747881059,8.94783656274597,12.2538266549674,8.76021174659449,7.95591908262719,7.20171656482063,9.41807023657282,7.17932300298102
"TCGA.BR.4253.01",6.0731270831484,13.9538378199416,9.17814385814681,1.4044842308406,8.59251013793349,4.28328312732633,9.78613410254956,10.0967799135733,2.54037900732039,8.64887778211185,9.09719236308033,10.4580491056161,5.6015438786393,4.32378932507175,6.43227901915654,10.4471308622627,5.13303753785361,9.65517476933229,6.66082152254484,10.1675416502949,5.38480260976016,9.02834891637648,11.4193391761903,9.04875704871748,1.53471091414893,5.24743189902368,11.7510910181229,7.66059563856646,11.5489962608128,10.3430628934467,5.70564795442342,9.78922732356803,9.41897684664071,11.0543916902829,4.02188322405288,9.63054528130774,8.43211483327506,11.8461648223187,9.26112141077571,5.46408053820237,6.24642619588193,6.63198703592363,9.83685176845028,5.10807930958054,4.34457976046907,10.4372339592066,9.7200542480552,5.73226164731509,10.2715499324891,7.30557331763825,10.5124569122847,12.4880005154271,5.38606006245746,6.72201090263,6.20555948131908,9.74701234217567,7.1924482284994
"TCGA.BR.4255.01",9.39652911091277,13.5061442792622,5.59349008398196,1.99183424795622,8.43510251071657,8.5314420169546,10.4736422787724,10.0428526727413,9.94201680539142,7.36168077759345,8.50464119534406,11.0018549560153,7.88107142639969,7.26005654914538,8.94517252011241,8.81751280589732,9.05657477999621,9.02120877884248,7.49386832258535,11.2088007799387,6.87003991017322,8.14150928748284,8.8436344856989,8.43611528194189,0.268996786490252,3.57753464515642,10.4093424257622,8.64428613574757,9.61375707850553,9.59205569245857,8.00414058459684,10.0281170747738,10.1327292971603,9.3299441431073,7.13425859537617,10.2394978401799,8.36824919360389,12.346569674465,8.58487588908048,10.4135851636939,6.53782648401681,7.37322733170766,10.6583857276495,5.76208058604792,9.56296360882182,9.14093153200426,9.3775247082142,10.1959611730815,10.5851632787159,8.791095773016,8.46543190875374,12.2957314623117,4.0545752531214,8.6763740395791,7.65251334729579,9.74981909170982,6.71099694087975
"TCGA.BR.4256.01",8.5696590292581,13.7180179154249,8.94694022781887,0.963775405661945,8.66098960338595,8.92460415597701,10.6107732686214,9.91059737936893,9.22030720264859,8.80656858939427,8.98078660638039,9.66223327621576,6.76456689453531,8.35347132258938,8.81500756525923,9.37965813981436,7.14691420608745,9.26160170009338,6.92345892603611,10.2081758444667,6.88933249564714,9.04767383382186,10.5057276846623,7.92088277237779,1.01755237115661,3.92671069211634,11.4117157127792,8.24549375515338,10.7941795098224,8.72823632834305,8.02832253424824,9.79500681112672,9.92553064596448,10.6828343145282,6.42919905715356,9.62676421406266,8.51156892216732,12.4210695698898,9.07474583339599,8.18519591031995,5.39467496275847,7.81350890973451,10.2599278909533,6.37004287958619,3.30231861441104,9.694026319544,9.53460401862393,9.66074790243816,8.89726152513806,7.95124535421188,9.2887631967696,12.3437300221701,8.56024747535178,8.47081643256257,6.75276672264139,8.93520527149863,7.31128534334008
"TCGA.BR.4257.01",6.92685706290009,14.8737610721516,8.90217561410895,1.2609277064566,8.12905673515389,4.64201153178365,10.4587726299057,10.8294984285102,10.4353994328044,8.50481805588786,9.16589513159126,10.5164448540449,6.70014198313749,7.79958129337059,8.99218719169569,8.72382517330843,8.54188504359858,9.35217685114518,6.24350886887482,12.3415376757271,6.53552972412201,8.39277774852825,8.63045268936749,8.61162343802126,0.151874242184045,3.26939925944052,11.643287494906,8.8108880103829,11.0664601717557,7.6903894929698,7.98984997043006,9.07513306600972,9.75883892468868,11.1619907137712,6.33715310987021,9.75257792432911,8.29850114451211,12.2294437929335,9.30685553033386,7.74518900009494,6.23133716527339,5.16917150590013,10.7585520425829,4.54885725016352,5.92805653494321,9.53374027540903,9.23102911064933,11.4867023589007,9.68532385548914,7.51132047302211,9.09995381781781,12.6148025193435,9.71313399491312,7.95572111301411,5.41426258334975,8.76966023941715,5.83449038304275
"TCGA.BR.4267.01",9.57151604695226,13.1235183101046,8.1969277992822,1.24454510231058,8.10737362056814,8.38442213799281,10.2302720805557,9.64887314773591,3.85948853293137,8.6325922299419,9.07091906815853,10.7040423569728,5.99844055880539,8.7020687923409,8.69665411797353,9.9311306926805,8.04752463822884,8.9717838716963,6.64224267519802,11.5894534697089,6.69668848133353,7.40015155731705,11.2380432069621,9.09642259264922,0.268996786490252,3.0865898174326,10.5771204907808,9.13194095207483,9.42154029873538,9.64167398854096,8.34522545553101,9.32603011858232,10.1156535353648,11.2949639919429,7.20271604688089,9.92145289333018,9.41962788544058,11.9580644726701,8.29045420181244,9.62260660569003,6.02580600698053,8.16166213685553,10.7839928122001,4.90741426185494,11.3626231351786,8.31191075309447,9.27561144228645,10.6268041522315,9.33659586020419,7.51031365002203,9.01631220217815,12.3376542627622,2.7014467940741,9.0546559406946,8.13693257437419,9.60986502987075,7.35397323007883
"TCGA.BR.4279.01",8.28618585411981,13.3924060803201,9.74876837882186,2.03916174185931,9.08413295598019,6.41213841093789,10.2467650101116,9.52531777629654,9.69989124759382,8.77982584311582,8.400567194752,9.38430894091861,6.45156958311156,4.45501285906054,8.3467747035093,9.19697261712715,7.50145655054852,9.27032610262556,6.30779040499109,10.7490708506523,6.94294391297478,8.012531383846,9.60929872603336,8.02760783918887,0.268996786490252,3.21593960016785,10.6604856354698,8.2416196853397,10.1843212912145,9.65434646793909,8.12920913464015,9.43692044424294,9.3305968004299,10.2353180109241,6.61282242037643,10.3648598505833,8.0207056019255,11.8957106954853,9.35222170738158,10.4173698378956,5.74778300103254,7.28182973611717,11.4405430505382,3.67461235028995,11.4528922829058,8.76307345631963,10.5974775293366,8.65149696375492,10.3501597754352,8.72320639230446,9.27555098340311,11.2199385821367,5.20975787003796,7.94941846162268,7.81122833434851,10.4255397850288,7.13671823702454
"TCGA.BR.4280.01",8.5509902367493,14.2246228402101,7.54808676649403,0.738113503287086,9.49834777878839,5.49311783824787,10.0261434795671,9.87032731984999,10.7119640676072,9.12306768715114,8.91909127684663,10.3650038489391,6.42848786763369,7.86166070712821,8.67675218319188,8.67933033470885,7.65388904037687,9.15997646052174,6.27118052933628,11.7107934050541,6.2535526705606,8.05605938166813,9.80050099361783,8.92393327735391,0.151874242184045,3.8770940496036,10.8570372681326,8.86462896270422,10.992865080368,6.60753412907818,7.99129566081415,9.19385513275106,10.1829893498472,11.3145998292243,7.9981375555067,10.4386629116638,8.9965219602126,12.472552273964,9.25415935887115,10.6269171263765,5.90539920484111,8.12298568582562,11.1116649802434,4.82285000084646,10.9097443202947,9.57267321686141,8.91780451344927,11.7309096727329,10.2861048771872,8.36612205659017,9.4283836105501,12.2709852031232,6.0283699694025,8.32850587215612,6.44140455132148,9.11423599936524,7.12542115071515
"TCGA.BR.4292.01",9.02459544679831,14.477257035081,7.70259229445321,0.706192714367644,8.94966017212776,4.61290360207476,10.6599816348232,10.2937942878856,10.7237245427388,8.86725072983791,9.20131978255868,9.47725533036757,5.89214494818843,8.76500273935189,8.51182447724383,8.3271259442893,7.27981504624236,9.59711530053586,6.76223373167215,12.1249846043922,8.6304774934007,7.55449047417173,11.1895015554294,9.00925248473115,1.69120678652582,4.66822331512455,12.0250956251766,9.37914908338166,11.1636555291699,7.29625634297766,7.76162948755275,9.13330931305718,9.77418842267546,11.1506552793702,6.74644636137953,10.4132466708138,9.68139376233962,12.5378435117429,9.75827168663328,10.4522950186922,6.04404947671453,6.92777330634685,11.0770219177441,5.81286759628258,9.82233492489059,10.0284328820212,10.9471450104998,11.8583608706102,9.80848455270005,7.24121439898739,10.3489653208814,13.048700906412,7.25396249994419,8.20402973028744,6.33751425018196,8.9124900558368,7.33526336603562
"TCGA.BR.4294.01",9.10607229935952,13.3301206657358,5.93587029948697,0.0835691176641994,8.20828560956711,6.64506973553298,9.36689681180156,8.62927727513526,9.93522833478195,8.43019222292214,8.18213839809038,11.3963391836556,4.66701469022692,9.06672621875216,8.3667898221544,7.89752742556151,10.0140445480524,9.02427921365639,8.33175223936217,10.4054246993529,6.70680684141157,4.02371440409101,8.85495658469531,7.72820723655394,0.268996786490252,0.99631513675017,9.1706708883155,7.12156482115169,9.66826522144262,10.40137177012,7.84879303447452,9.22676274748943,9.83153070961635,11.7648329089932,9.10233664663291,10.7887691009615,8.12588639079962,11.1280091868472,9.43537257442708,8.06052023801701,5.58074436382935,6.74519283893301,11.5797574059022,4.73641974661468,6.00394626268573,8.84310889028754,8.99723211265473,9.62240142815005,9.76687827461001,7.55674218364157,5.83472825316611,11.1720804118509,4.27850000230684,8.81132799246672,7.46577033156277,9.6078534777135,8.97748938532347
