"","ACTN1","AIF1","AIM2","AMPH","APOL3","ATL1","C3orf70","CGN","CHAF1A","CLIP3","CRYAB","EPS8L2","FBLN1","FBXO6","FERMT2","FGR","GASK1B","GZMB","HLA-DRA","ICAM3","IGFLR1","IRF1","LAG3","LHFPL6","MAMDC2","MFAP4","MYH11","NUB1","PBX1","PDZRN3","PLPP2","PPP1R14A","PRICKLE2","PRSS23","RBM39","RBPMS2","REEP1","RGS2","SGCE","SLC24A3","SMAD9","SRPX","TAP1","TIMP2","TPM1","TSPAN18","UBD","VIPR1","WARS1","ZCCHC24"
"GSM1523948",8.62721089239715,7.78271549429317,4.24108058917658,4.81777291615513,6.92514924726991,6.56936381551891,6.92846562822272,8.1764258900667,5.6998533144385,5.56680117415128,8.38102510670159,5.81365159216017,6.70119695551399,7.40756419898028,8.42941864201192,6.21943149415,7.23982719617496,6.5570376467883,11.9685748803366,8.46184684932973,6.99547422355467,7.76210252694425,4.29122130678403,8.82586070912738,7.05016865202581,7.98849060897535,7.33351843651069,5.03279713183884,7.79121187256692,6.31142532250966,8.84260661876824,7.01443032758347,7.17823183600956,7.45824743565646,9.10312584652061,8.05737822022319,6.57697698786901,11.3685256047427,9.22482696022594,8.37973879471187,6.12605813922631,7.61896543275294,8.53680002251314,9.59045158541759,8.85553520072826,6.27524298591434,9.04995920618897,5.67659384914238,8.39455330086475,8.53435141025351
"GSM1523949",9.27442561233386,7.98142606058747,6.65779822562162,5.74793551869386,7.84630826637746,7.66941718519453,7.77097762764442,7.17661982631899,5.42980481467341,5.9626677294111,9.94097467198577,5.61470466014301,7.3474689816783,8.06864029813175,9.22447853075738,6.57428182383282,7.66776903741761,6.24998353526799,11.8854368389418,8.84821924159368,6.84585258449669,8.25787629448581,4.98222015701889,9.50979865780456,8.48154313246081,8.40097719334686,7.19589374963237,5.24165759422677,8.17371211765518,6.8816598740527,7.65572315426172,8.62602311767179,7.71713927284707,7.47326935501865,8.52263989199348,9.16502713026297,8.13408087654378,11.6996731649893,9.437879375011,7.75432662630325,6.71339515498189,9.12252635547652,9.53453189966385,10.0479242879847,9.13115508110799,6.6977271335839,9.24706844320967,6.03181634792641,8.53338263292133,9.47933907857949
"GSM1523950",8.10559833731933,6.44580869660898,4.29317880784888,3.5542862244493,6.86640527069683,4.71929149884447,6.881911364113,7.32941805987347,6.44684901045473,5.06160603635734,5.19803096054081,5.59067651163815,4.38031999136096,7.78598683418191,4.99308945993169,5.37228476506405,6.00098857107528,7.0537034786937,11.1896423514219,7.70506122938577,6.73322844520514,8.39622895440123,4.82038906943772,7.25505919303074,2.95434056570727,5.3803844256601,4.5794374955285,5.79056672929035,7.03665145915685,4.86593485789628,9.18597670884705,4.54919126048137,4.41488125250819,6.39828031254726,8.98298075793642,5.22018180983154,4.26270672909734,9.60325660264708,4.82440970832679,4.39237507675246,6.17758558447242,4.77562816730818,11.2883270520022,6.71615439534802,7.82779196559098,4.57832429662954,11.6986747409562,6.227130322466,8.61978724979411,5.09323693876767
"GSM1523951",7.98114847525071,8.39900530183907,8.49842919777058,4.23313384676989,8.24977492494399,6.7136642254443,6.13231832929988,6.68870645507216,6.28499040127378,5.38086349016449,5.89220689174299,5.23487189719925,5.96188483758749,9.18084303965739,6.79814628205741,7.12900893587114,6.92965115830211,9.59293500744687,12.4052411509798,9.62719145749075,8.41036483666564,9.55234879449561,6.75622577421481,7.73314265446287,3.56803813900001,6.41427948516317,5.35941463706402,5.2986164531719,6.78245496237009,4.89187566950085,8.3676544258751,5.23885800106429,6.0095430172619,6.68651612761259,8.77887124430204,5.89631138544172,4.2291664594737,10.536971499566,7.25226067387944,6.72285567250963,5.12627817950761,5.21067840627269,10.9153278431595,9.29314170682344,7.89789075423145,5.46791957447115,13.0696277621261,5.8298919679294,10.635265563683,7.42498836058364
"GSM1523952",8.0187985774139,7.71051690111147,7.96281706490094,4.6172781107348,7.16321810289448,6.72769108728057,5.47696130713636,8.14449200573038,5.75939569552988,5.15080890510957,5.88002541962628,5.95706401809714,6.27043422247171,8.3389142292814,7.53215570333492,7.41587633766061,7.28017901336846,8.15376928028285,12.3534954283461,8.79216630848284,6.97549550985484,8.61030579782049,5.1652048550194,7.61977784154722,6.22594332586065,6.65606170149878,5.44989114306538,5.21027724376252,7.03882771119319,5.63996095249269,8.31041345018883,5.40307813801108,6.56421520439235,7.70210563860902,8.30321254341527,6.34432684462041,5.74777850851722,11.4045018606186,7.89732303076052,6.31330027142098,5.85318672315333,7.20815399458624,10.1745190478365,9.11484160831375,8.42055657314233,5.59582128348324,11.9737584775647,5.89593760420799,9.08915710660208,7.37458182838131
"GSM1523953",8.62383964805274,6.04927008883443,4.63165047973631,4.62397207611346,5.52657684980494,5.71213588233327,6.79572189845497,9.08969547469448,6.12483190827338,5.29060457519084,5.27215435952333,6.1566361118164,5.91284061372755,7.14387387836776,5.744929738009,5.29644625462867,7.91380916127318,5.13187617004196,7.66708396926,7.05547366468155,6.05112291860298,7.25677664039625,4.54181424954019,5.74601762447347,3.20195393213493,5.31622357680657,5.08748183877758,5.08787010805754,7.47122146324744,5.85882498363966,6.73292403233262,6.37394194978329,5.68891717852849,7.07584586188016,9.00946447337835,7.04824995369182,8.11983190462387,9.43487645372048,7.32443822508384,5.28244270120405,4.73977137385497,5.62977813465046,9.15361051759955,7.04005778322156,7.78261490649524,7.37452081734468,11.8385937574572,6.20306049915193,8.13940439374471,6.1674921493846
"GSM1523954",7.39341455083261,6.21346035339111,4.88462362958606,4.62520920013563,7.03917236571379,6.45053588332305,5.72460114424218,9.26022154041156,5.80078100636486,5.29236502016736,5.69283590315647,6.43266338324327,4.55389216905691,8.76543758410623,6.07233981643458,5.2581450927055,6.50971812054714,6.15645715158473,9.59591425330425,8.62783618260361,5.88384824135312,8.72043477270954,4.36686274495141,5.76026326533555,4.54470087018378,5.91351098398001,5.67996341974679,5.34377242694903,8.01209839869223,5.11985582201145,8.7369716638729,5.01415830298345,5.10877398961328,6.68230321250336,8.37204478562224,5.58702287742376,4.93039521744581,12.7242240162597,5.78238416069826,5.52465821097748,4.93253997857603,6.32759078578399,10.043427293213,8.8446065666626,9.0804277132302,4.96937481741398,9.91241330295786,7.51838548123776,8.31059701460318,6.79275507821782
"GSM1523955",8.10439422004336,6.72980111091721,5.6534109501853,4.38162779959299,6.6235797711547,7.37218116032093,6.76365827261883,6.96456889299013,5.28998513382261,5.50832525585298,6.47674799257307,5.76370423135973,7.22406677264844,7.15883586368917,7.31538213906427,6.11687105649105,6.84276766536066,6.86866750929458,11.0375514018802,8.74389581453805,6.46233985966961,6.97588876269766,4.12214344389773,7.74707003196725,6.7372242879385,7.23136703340494,5.78426293412007,4.79233799945073,8.31208169919935,5.77849868948112,8.38031759559893,4.88986442530634,6.66841307920202,6.97193959293421,8.60087930887304,7.11324714816398,6.77467829499498,10.5649725284652,7.72572180945773,7.32474990499372,6.06531024891741,9.80354315392485,8.11599383199959,8.72366813286745,8.27268787554439,5.72160536082971,8.63209038733075,5.95624060443054,7.81178776680122,7.92089257621798
"GSM1523956",8.55769622649933,6.87136156385749,5.27897535937546,4.41973100168141,5.98584781025043,6.59243621887545,5.06048703046536,7.55280817117961,5.78856317501264,5.20100723141789,5.98214325563216,5.33055421786396,5.2526480631366,7.73141079161297,7.35427527141712,5.61597072376908,6.88762525981856,7.94285300242138,12.0246512565365,7.58466989852377,6.77348975625191,7.96086273207146,4.47177999719051,7.56870863095898,3.27710900508437,5.70316088391947,4.93943846126732,5.17053255047204,7.76626365577923,6.41962208076341,8.69228619651768,5.729773245032,6.47968706357281,6.92967168003307,8.45825709368787,6.63393452833462,4.81175287208704,9.75394070499762,6.43638793428574,6.60597549196416,6.0022430248589,6.18146795344308,9.86075605931454,8.99320551967627,7.9681513375844,5.28616724435556,10.7953216798577,5.7725354556745,9.20836108640467,6.82739633975182
"GSM1523957",8.21842434677903,5.86912481548412,4.6641598297793,4.58476325464611,5.49551140709635,5.7788379077931,5.00980064450076,9.15605432262196,6.20863717641062,5.26529834851134,5.51901497255304,5.8124528154021,4.42877772042323,7.94786343627004,6.02712157285399,5.37612382742475,6.16721274952053,6.09314767484403,8.12651419173315,7.83834855937067,6.24522563165882,8.07153813031377,5.12585235432604,7.24821727065521,4.43591291366651,5.922225031779,4.9194303642203,5.37214539729562,7.46846428019544,5.39901945927097,9.06176722078131,6.08345744264043,5.84954723647685,6.52511445096139,8.21032490067629,5.96033372448154,5.56363085206231,8.96505400209959,6.39735819518639,5.18176140574919,5.31532019194572,5.92445168400606,9.85592604923143,8.34115133080197,7.76618830119719,5.30578225606823,10.065297053046,6.08974866783756,9.03974858618196,6.95559679110009
"GSM1523958",7.93316461813161,8.2957419429991,8.00137105537507,4.8618259163928,8.12244443552363,6.75222002350652,6.64670428241768,7.65880141645438,5.64390232975011,5.45456810886803,6.45588827079363,5.63383965230464,6.06269183773943,8.96866546264691,7.20083470709249,6.43619965774504,7.41917800431168,9.50342700368413,12.7361214147467,8.85635296494669,7.66353157262169,9.4329463495729,6.05984562129687,7.74303305612693,5.71426734399473,7.58816970142077,5.90941286472553,5.22083200798876,7.65693181165403,5.99104691642657,7.77551914193361,5.83498469994688,6.3601413405988,7.40290276979938,8.64536927934206,5.87868318985399,4.52371853132265,10.7839683057937,8.00362263697679,6.97225799782777,5.74505966698911,7.23044104292944,11.1210282065074,9.1613981489073,8.17568035689485,5.03329805091359,12.147517889873,5.70949407739674,10.0811561650449,7.41641883582739
"GSM1523959",8.50684419724301,6.60406382061652,4.82589506155691,3.81058961005294,6.22296143536875,6.62997246568868,5.66447603614792,7.62870622117094,5.86082778245861,5.09425100696757,5.44659772748636,5.10625731695184,4.46165400506734,7.11984972672659,6.4802639751738,6.89953153006217,6.21855029469436,5.88705923492559,9.9017054109666,8.01125396830801,6.4411701540703,7.29044808425001,4.41295826003561,6.67232483796574,3.35715183905994,5.28796690632859,5.17944764000335,5.5601000923713,8.68460665778393,4.8869414796338,8.01705350890143,5.5674260694004,5.28836975317471,6.57830725090698,8.37632236652519,5.20519456467752,5.00467567590776,10.2469077539764,6.17042969477523,5.61252928879562,4.65022241415302,5.4921507520169,9.89562598608504,7.89935627143357,7.98921882149429,5.28805391917158,7.20825153991539,5.99653906234483,8.68978397227377,7.19693937157785
"GSM1523960",8.71032946803138,6.4270583066192,4.73925220431293,4.32708307476372,5.79314871014875,7.12906240622419,6.32839053331993,7.84805928432994,5.48443352157746,5.09666190999415,5.69766867581852,5.82340545942399,5.93249904218584,6.1987015566963,6.58868264242044,5.44104910020092,7.77056352910471,5.51872095988126,8.22651408059835,8.22240229691043,6.05766789193145,7.71176269723225,3.67059078524621,6.4012456946989,3.63753695469016,5.36812368489999,4.9812671876835,5.08456046593307,7.47845150107352,5.99524648893724,7.90264355797298,7.10767244047295,5.42072649442344,6.82877359179266,8.84549402681134,5.58431865058324,6.66118840997061,10.4200531500546,6.58859564323361,6.21454036065312,4.86218746245456,5.61816721833579,10.41532751719,7.89732066333904,8.0269427597115,5.7522551337937,9.36383799394077,6.63693858950178,8.14973121376384,6.520520713953
"GSM1523961",8.20572665260318,6.33459679763416,6.27082384574329,4.30002761670086,7.4252328503439,5.45163181716164,6.91906453784109,8.68095279202829,6.37015226529257,4.91576511807889,5.55993779489302,5.59733643508987,4.78087961115799,9.11393823942825,6.4909596119038,6.06229645368031,6.15690207548272,7.85104364807739,11.8095670956866,7.98978833480212,6.64025986889014,8.94528022425827,5.08784674513397,6.93983621603598,3.62797367870672,5.5976077846475,4.77786373995043,5.56942282002136,6.66449097327712,4.83137297132292,8.72128337458266,6.09201960184457,5.53985487232949,7.09206693902947,9.37436448737844,5.38830236339657,4.4028215130659,10.0391916892655,8.24896104849243,5.37256667781479,5.08750428100526,6.51855679021514,11.3950859797644,8.16961926551548,8.05457327088787,4.99466858292003,11.692525849487,5.16229573085096,9.83036329647769,6.34869136129038
"GSM1523962",9.34067968238724,8.17565457353726,6.87880044954161,5.41753464742124,6.80184369191077,7.61734692814284,8.42310493399245,7.84121731134008,5.40790778441243,5.71112145045232,9.66916230789588,5.54639994880069,7.25150690630627,7.66801355046989,9.61880205943205,6.01561252547735,8.42104816011071,6.07466859839373,12.5436165000806,8.74480213065194,7.23107043249921,8.00530422860529,4.93240744926221,9.16799950906626,7.91378884921468,8.80246615602049,8.19458659224771,5.07383214474298,8.16413842620805,6.73764345296765,7.6673783283343,8.20301848248171,7.74054318007025,8.05509071164625,8.68623864531494,9.2309263315631,7.90034726572151,11.7137397922788,9.32216495257338,8.57439631248389,7.76354601946905,9.3568820779232,9.09041725186652,10.0236849840686,9.6615239529888,6.47782752506618,9.67392435826499,6.2682347137745,8.64024377621731,9.36132599662583
