"","Accuracy","Kappa","Brier_score","Model","FS"
"acrg_models11.3",0.775862068965517,0.690221857025472,0.405030395009411,"NB GBM","GBM"
"acrg_models11.4",0.862068965517241,0.811535337124289,0.266086846197352,"NB GBM","GBM"
"acrg_models11.5",0.741379310344828,0.642563681183237,0.472298434772884,"NB GBM","GBM"
"acrg_models11.6",0.724137931034483,0.621841890790546,0.43299813868079,"NB GBM","GBM"
"acrg_models11.7",0.672413793103448,0.554567502021019,0.586751357737928,"NB GBM","GBM"
"acrg_models11.8",0.620689655172414,0.474897119341564,0.606257191750905,"NB GBM","GBM"
"acrg_models11.9",0.741379310344828,0.65032154340836,0.433000028111587,"NB GBM","GBM"
"acrg_models11.10",0.706896551724138,0.607796340493238,0.484669261785093,"NB GBM","GBM"
"acrg_models12.1",0.896551724137931,0.855960264900662,0.281785517241379,"RF GBM","GBM"
"acrg_models12.2",0.862068965517241,0.811382113821138,0.243943172413793,"RF GBM","GBM"
"acrg_models12.3",0.810344827586207,0.737015663643858,0.348656689655172,"RF GBM","GBM"
"acrg_models12.4",0.879310344827586,0.83442088091354,0.231008551724138,"RF GBM","GBM"
"acrg_models12.5",0.793103448275862,0.710963455149502,0.316213379310345,"RF GBM","GBM"
"acrg_models12.6",0.810344827586207,0.7383100902379,0.276249103448276,"RF GBM","GBM"
"acrg_models12.7",0.775862068965517,0.685308848080134,0.339726068965517,"RF GBM","GBM"
"acrg_models12.8",0.741379310344828,0.633220910623946,0.400486206896552,"RF GBM","GBM"
"acrg_models12.9",0.810344827586207,0.73394495412844,0.383383034482759,"RF GBM","GBM"
"acrg_models12.10",0.844827586206897,0.78659035159444,0.354488965517241,"RF GBM","GBM"
"acrg_models13.1",0.896551724137931,0.856079404466501,0.177682755038541,"GBM GBM","GBM"
"acrg_models13.2",0.844827586206897,0.789005658852062,0.270941603523693,"GBM GBM","GBM"
"acrg_models13.3",0.862068965517241,0.80873866446826,0.21538381784456,"GBM GBM","GBM"
"acrg_models13.4",0.793103448275862,0.716612377850163,0.25291364049118,"GBM GBM","GBM"
"acrg_models13.5",0.758620689655172,0.665016501650165,0.30589818152335,"GBM GBM","GBM"
"acrg_models13.6",0.862068965517241,0.808422791081751,0.246036382272132,"GBM GBM","GBM"
"acrg_models13.7",0.793103448275862,0.712871287128713,0.354925801952231,"GBM GBM","GBM"
"acrg_models13.8",0.758620689655172,0.662229617304492,0.336293668223049,"GBM GBM","GBM"
"acrg_models13.9",0.793103448275862,0.71,0.358554530838121,"GBM GBM","GBM"
"acrg_models13.10",0.896551724137931,0.856907894736842,0.211042800179057,"GBM GBM","GBM"
"acrg_models14.1",0.724137931034483,0.613976705490849,0.366131345076968,"KNN GBM","GBM"
"acrg_models14.2",0.637931034482759,0.494605809128631,0.417164750957854,"KNN GBM","GBM"
"acrg_models14.3",0.672413793103448,0.537363560033585,0.411954022988506,"KNN GBM","GBM"
"acrg_models14.4",0.706896551724138,0.590871369294606,0.39960834397616,"KNN GBM","GBM"
